tconst,averageRating,numVotes,titleType,title,originalTitle,isAdult,year,runtimeMinutes,imdb_genres
tt0025452,6.8,18655,movie,the man who knew too much,The Man Who Knew Too Much,0,1934,75,"Crime,Mystery,Thriller"
tt0025586,7.0,7267,movie,of human bondage,Of Human Bondage,0,1934,83,"Drama,Romance"
tt0025799,6.7,656,movie,six of a kind,Six of a Kind,0,1934,62,Comedy
tt0025878,7.9,28980,movie,the thin man,The Thin Man,0,1934,91,"Comedy,Mystery"
tt0026029,7.6,55893,movie,the 39 steps,The 39 Steps,0,1935,86,"Crime,Mystery,Thriller"
tt0026138,7.8,47163,movie,the bride of frankenstein,Bride of Frankenstein,0,1935,75,"Drama,Horror,Sci-Fi"
tt0026465,6.2,161,movie,here comes cookie,Here Comes Cookie,0,1935,65,"Comedy,Music"
tt0026656,6.0,140,movie,love in bloom,Love in Bloom,0,1935,75,"Comedy,Music,Romance"
tt0026752,7.7,22449,movie,mutiny on the bounty,Mutiny on the Bounty,0,1935,132,"Adventure,Biography,Drama"
tt0027125,7.7,18872,movie,top hat,Top Hat,0,1935,101,"Comedy,Musical,Romance"
tt0027698,6.7,7975,movie,the great ziegfeld,The Great Ziegfeld,0,1936,176,"Drama,Musical"
tt0027893,7.3,2100,movie,little lord fauntleroy,Little Lord Fauntleroy,0,1936,102,"Drama,Family"
tt0027977,8.5,235063,movie,modern times,Modern Times,0,1936,87,"Comedy,Drama,Romance"
tt0027980,5.9,159,movie,moonlight murder,Moonlight Murder,0,1936,66,Mystery
tt0028010,8.0,23331,movie,my man godfrey,My Man Godfrey,0,1936,94,"Comedy,Drama,Romance"
tt0028212,7.0,16464,movie,sabotage,Sabotage,0,1936,76,"Crime,Thriller"
tt0028231,6.5,8337,movie,secret agent,Secret Agent,0,1936,86,"Mystery,Thriller"
tt0028282,6.4,390,movie,song of freedom,Song of Freedom,0,1936,80,"Drama,Music"
tt0028629,5.8,191,movie,big fella,Big Fella,0,1937,73,"Drama,Musical"
tt0028757,6.8,2004,movie,a damsel in distress,A Damsel in Distress,0,1937,101,"Comedy,Music,Romance"
tt0028944,7.5,4916,movie,the good earth,The Good Earth,0,1937,138,"Drama,Romance"
tt0029162,7.7,12899,movie,lost horizon,Lost Horizon,0,1937,132,"Adventure,Drama,Fantasy"
tt0029546,7.5,7093,movie,shall we dance,Shall We Dance,0,1937,109,"Comedy,Musical,Romance"
tt0029583,7.6,193827,movie,snow white and the seven dwarfs,Snow White and the Seven Dwarfs,0,1937,83,"Adventure,Animation,Family"
tt0029588,6.2,908,movie,something to sing about,Something to Sing About,0,1937,93,"Comedy,Musical"
tt0029606,7.3,9619,movie,a star is born,A Star Is Born,0,1937,111,"Drama,Romance"
